cat_id;cat_name;theme_id;theme_name;comment_text
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;"""Я русский бы выучил..."""
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;На проезде повален знак
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;Выцветшие светоотрожающие полосы на нескольких знаках
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;"Дорожный знак ""Пешеходный переход"" демонтирован вместе с опорой после ДТП.
Данный знак был поврежден. ( после ДТП 4.04.2021)"
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;"Знак &quot;Стоп-линия&quot; перед светофором по улице Пролетарская (остановка &quot;Ж/д больница&quot;) установлен очень низко. Зимой его не будет видно из-за сугробов. Исправьте."
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;поврежден знак на парковке. уже год)
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;Поврежден дорожный знак 6.16 - стоп линия. Перекресток ул. Рыбаковская - пр. Парковый
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;Поврежден знак
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;"Повреждена опора знака &quot;Жилая зона&quot;."
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;Знак шатается от прикосновения, опасно
1;Дороги;1;Нечитаемые/поврежденные дорожные знаки;Дорожный знак почти упал.
1;Дороги;11;Наличие опасно выступающих элементов над покрытиями (дорожными, тротуарными и т.д.), таких как арматура, бетонные блоки и т.п.;"Орск , Вокзальное шоссе 1 - На пешеходном тротуаре , возле дома Вокзальное шоссе 1 , лежат трубы отопления пересекающую этот тротуар . Этот тротуар не освещается и в темное время там можно &quot;убиться&quot; спотыкнувшись об эти трубы . В светлое время там приходиться перешагивать или перепрыгивать  , велосипедистам и  инвалидам в колясках там не проехать ."
1;Дороги;11;Наличие опасно выступающих элементов над покрытиями (дорожными, тротуарными и т.д.), таких как арматура, бетонные блоки и т.п.;На ул. Дружбы и ул.Брестской делается ремонт вполне хороших тротуаров, а до светофора дорожку так и оставили в ужасном состоянии.  Торчат штыри и арматура.  Дети ходят в лицей через неё.  В дни, когда идут дожди, там не возможно пройти. Вчера я упала и повредила колено. Просьба принять меры и исправить проблему.
1;Дороги;11;Наличие опасно выступающих элементов над покрытиями (дорожными, тротуарными и т.д.), таких как арматура, бетонные блоки и т.п.;"На каком основании частное лицо перекрыло муниципальную дорогу? Тем более само название улицы гласит само за себя ""ул.Проезжая""."
1;Дороги;11;Наличие опасно выступающих элементов над покрытиями (дорожными, тротуарными и т.д.), таких как арматура, бетонные блоки и т.п.;"Перед регулируемым пешеходным переходом через проезжую часть по улице Пролетарская (остановка &quot;Ж/д больница&quot;) торчит арматура. Опасность травмирования пешеходов. Требуется срочно её демонтировать."
1;Дороги;11;Наличие опасно выступающих элементов над покрытиями (дорожными, тротуарными и т.д.), таких как арматура, бетонные блоки и т.п.;повреждение элементов сцены.
1;Дороги;11;Наличие опасно выступающих элементов над покрытиями (дорожными, тротуарными и т.д.), таких как арматура, бетонные блоки и т.п.;"Добрый день!
Ремонт моста закончен, а проблему обсыпания края моста так и не устранили. Куски бетона падают в низ, там ходят люди."
1;Дороги;11;Наличие опасно выступающих элементов над покрытиями (дорожными, тротуарными и т.д.), таких как арматура, бетонные блоки и т.п.;Множественные ямы на дороге
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;Дорожное покрытие двора испорчено ещё в 20 году, однако никак не подвергся ремонту. Также на ул.Цветной бульвар разрушилось часть дорожного полотна из-за его плохого качества. Из-за этого рядом со стадионом затруднено движение и парковка машин
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;Год тому назад проводилась замена труб на тротуаре вдоль дома №28. Траншею закопали и успешно забыли. Земля проседает, весной и после дождей летом грязь. И всё это в центре Орска, напротив Городской администрации. Стыдно за свой родной город!!!
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;здравствуйте, после ремонтных работ теплосетей если не ошибаюсь оставили бардак,а ведь начнутся дожди будет грязь, слякоть
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;"В рамках капитального ремонта улицы Пролетарская (от ул. Ноябрьская до ул. Шевченко) не был благоустроен подход к пешеходному переходу через проезжую часть по улице Пролетарская напротив ТЦ &quot;Берёзки&quot;. Прошу устранить данное замечание в кратчайший срок!"
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;Ямы в дороге
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;Дорога по ул Аксакова от ул Спортивной и до пер Осенний вся в ямах .После дождя пройти по улице очень затруднительно , дети вынуждены идти в школу по другим улицам.  Когда вызываем такси не один таксист сюда не хочет ехать  .Просим вас произвести ремонт дорожного полотна
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;Прошу вас отремонтировать въезд во дворы домов 8, 10, 10/1 со стороны ул. Высотной.
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;По улице Аксакова дорога требует ремонта . От ул Спортивной до переулка Осенний . Просим вас , так как наши дети каждый день ходят по этой дороге домой со школы , а если прошел дождь им приходится обходить по другим улицам
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;Разбитый тротуар между домами Салмышская, 14 и Юных Ленинцев, 18 - выход на перекресток и сквер Салмышского Боя
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;Здравствуйте. На пересечении ул. Транспортной и пр. Победы(в районе жк ласточкино гнездо), около светофора, глубокая яма. Не могу с июня 2021 ничего добиться, только все принимают заявки и ничего не исполняют!!!!! Скоро осень, все будут попадать в яму. Убедительная просьба, заделайте яму.
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;"Здравствуйте. Уже много лет жители у домов Лабужского 2а и улицы Народной борятся с администрацией по благоустройству дороги соединяющей улицу Лабужского с улицей Новой. 
Но, увы, их никтоине слышит. Постоен новый квартал, очень много маленьких детей, которым не на велосипеде проехать, не на коляске прокатить, а про машины... 
Так не давно делали дорогу на Лабужского, и наверно, чтоб создать видимость кинули амыальтной крошки в ямы, не загредеровав их и не разровняв. Что ж мы не люди что ли, почему такое отношение, почему нельзя сделать по человечески. До этого у нас просто были пыльные ямы а теперь асыальтные. 
Прости принять меры."
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;здравствуйте, на пешеходном переходе в районе улицы брестской который находится не по далеко от остановки родимцева, разбитый,ходить не удобно,не приятно
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;провалился асфальт,перекресток Зиновьев,пер.Грабовский уже с весны
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;здравствуйте, делали тротуар,но не доделали дорожку..
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;Добрый день! Прошу организовать адекватные переправы через коммуникационные рвы до зданий общего пользования
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;"3 недели разрушено покрытие. 

требую устранить"
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;Ямы, отремонтируйте, пожалуйста, дорогу.
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;На участке дороги по ул. НОВАЯ при движении с ул. Башиловых не доезжая до трк гулливер, на левом повороте  съезд к автомойке -  большая яма. Просим заделать.
1;Дороги;12;Ямы, выбоины, выступы на дороге, тротуаре;Пропасть, провал, возле Дома Б.
