1;На проезде повален знак;84:Содержание помещений МФЦ:56;12:Ямы, выбоины, выступы на дороге, тротуаре:50;13:Ямы, выбоины, выступы на придомовой территории:50;
2;Выцветшие светоотрожающие полосы на нескольких знаках;79:Очистка ливневок колодцев:50;20:Неисправность недоступность инфраструктуры для маломобильных граждан колясок во дворе:42;42:Неубранный снег, гололед во дворе:42;
3;"Дорожный знак ""Пешеходный переход"" демонтирован вместе с опорой после ДТП.Данный знак был поврежден. ( после ДТП 4.04.2021)";8:Неисправный светофор:33;30:Вытоптанный, заезженный газон:33;78:Раскопки во дворе:33;
6;поврежден знак на парковке. уже год);63:Некорректное поведение водителя кондуктора:77;12:Ямы, выбоины, выступы на дороге, тротуаре:50;13:Ямы, выбоины, выступы на придомовой территории:50;
7;Поврежден дорожный знак 6.16 - стоп линия. Перекресток ул. Рыбаковская - пр. Парковый;17:Реклама на тротуаре:50;18:Реклама на тротуаре во дворах:50;32:Нескошенная трава вдоль тротуаров и обочин дорог:50;
8;Поврежден знак;63:Некорректное поведение водителя кондуктора:77;66:Питание в образовательных организациях или организация питания в учебных заведениях:55;12:Ямы, выбоины, выступы на дороге, тротуаре:50;
9;"Повреждена опора знака &quot;Жилая зона&quot;.";10:Повреждения остановочного павильона:90;77:Повреждение контейнерной площадки контейнеров:90;63:Некорректное поведение водителя кондуктора:70;
10;Знак шатается от прикосновения, опасно;12:Ямы, выбоины, выступы на дороге, тротуаре:50;15:Открытый (просевший) люк или ливневка на дороге:50;17:Реклама на тротуаре:50;
11;Дорожный знак почти упал.;3:Стертая дорожная разметка:75;12:Ямы, выбоины, выступы на дороге, тротуаре:50;13:Ямы, выбоины, выступы на придомовой территории:50;
12;"Орск , Вокзальное шоссе 1 - На пешеходном тротуаре , возле дома Вокзальное шоссе 1 , лежат трубы отопления пересекающую этот тротуар . Этот тротуар не освещается и в темное время там можно &quot;убиться&quot; спотыкнувшись об эти трубы . В светлое время там приходиться перешагивать или перепрыгивать , велосипедистам и инвалидам в колясках там не проехать .";81:Длительное время обслуживания в МФЦ:64;8:Неисправный светофор:62;46:Некачественное содержание катков:37;
